c_shot_x,c_shot_y,shot_type,shot_distance_feet
352,497,2PA,4.8299396449657905
30,432,3PA,21.255924170616115
197,267,3PA,21.36028210967183
476,522,2PA,12.215289296757998
153,257,3PA,23.309406454917816
133,544,2PA,12.300427223139282
38,430,3PA,20.78858239551987
436,282,3PA,20.98360968219731
541,358,3PA,21.43880652863625
461,287,3PA,21.518688437438833
380,252,3PA,21.621310699076364
277,502,2PA,3.8058081936466843
569,406,3PA,21.214156366886407
348,520,2PA,3.54952257805306
246,518,2PA,4.737499644041556
149,292,3PA,21.288353584480486
251,248,3PA,21.61254362015528
233,241,3PA,22.364006934835107
22,468,3PA,20.956135380161385
324,489,2PA,4.317220791665112
535,361,3PA,20.973009830470836
174,265,3PA,22.134933973073384
550,397,3PA,20.361559698663402
279,322,2PA,16.11001490162951
463,257,3PA,23.443445456676564
27,483,3PA,20.349269954306294
27,496,3PA,20.162771743732026
335,225,3PA,22.983644303782764
24,487,3PA,20.49613724940392
472,301,3PA,21.097341515147374
446,283,3PA,21.24343813719783
333,240,3PA,21.908886921993282
354,498,2PA,4.876279802741948
378,495,2PA,6.313820846779484
471,493,2PA,12.342059399627733
494,321,3PA,20.898539421063358
275,491,2PA,4.550318390276377
89,351,3PA,20.78760995537033
239,487,2PA,6.393758397667507
335,489,2PA,4.609903176362126
378,246,3PA,22.00176671531788
155,284,3PA,21.559163046992538
345,504,2PA,4.126898182094784
332,491,2PA,4.389198779270084
126,298,3PA,21.842236298944684
29,473,3PA,20.382522039480826
194,497,2PA,8.719477596092112
336,321,2PA,16.207283563885838
310,242,3PA,21.68432903178526
98,291,3PA,23.448941946640726
270,451,2PA,7.288723574204529
240,242,3PA,22.184309661500432
263,500,2PA,4.5286089977155415
522,342,3PA,21.170157771337955
371,524,2PA,4.901605926807071
299,245,3PA,21.474960777325816
260,513,2PA,4.06645013632467
562,393,3PA,21.23820371208597
110,328,3PA,20.89333953095312
267,506,2PA,4.022716877003348
354,229,3PA,22.862718397974703
216,250,3PA,22.061865902289103
370,475,2PA,6.8483002343842445
546,371,3PA,21.157621123493772
110,301,3PA,22.360277971252632
466,521,2PA,11.523606777982256
576,433,3PA,20.83508486755987
410,486,2PA,8.57129019259575
242,503,2PA,5.521276162733915
323,475,2PA,5.25922229521754
120,422,2PA,15.931309757167737
574,434,3PA,20.676451986837566
437,274,3PA,21.526319906850286
487,297,3PA,21.941502913427623
308,458,2PA,6.3286115455325325
372,332,2PA,15.988308125647587
270,229,3PA,22.75103662139361
212,492,2PA,7.742290396139512
347,505,2PA,4.172567940520149
413,261,3PA,21.7080883475666
103,328,3PA,21.228445203059835
